optimizer,Num of Layers,Epoch,Batch Size,Learning Rate,Validation Accuracy,Validation Loss,Samples
RMSprop,50,2,16,0.01,0.1467,2.2943,"RMSprop, 50, 2, 16, 0.01"
RMSprop,50,4,16,0.01,0.1701,2.2896,"RMSprop, 50, 4, 16, 0.01"
RMSprop,50,6,16,0.01,0.1945,2.2848,"RMSprop, 50, 6, 16, 0.01"
RMSprop,50,8,16,0.01,0.219,2.2799,"RMSprop, 50, 8, 16, 0.01"
RMSprop,50,10,16,0.01,0.2435,2.2749,"RMSprop, 50, 10, 16, 0.01"
RMSprop,50,30,16,0.01,0.5201,2.1796,"RMSprop, 50, 30, 16, 0.01"
RMSprop,50,50,16,0.01,0.6774,2.0982,"RMSprop, 50, 50, 16, 0.01"
RMSprop,50,70,16,0.01,0.8076,2.0198,"RMSprop, 50, 70, 16, 0.01"
RMSprop,50,90,16,0.01,0.9109,1.9445,"RMSprop, 50, 90, 16, 0.01"
RMSprop,50,110,16,0.01,0.9873,1.8722,"RMSprop, 50, 110, 16, 0.01"
RMSprop,50,1,32,0.01,0.1367,2.2978,"RMSprop, 50, 1, 32, 0.01"
RMSprop,50,2,32,0.01,0.1589,2.2932,"RMSprop, 50, 2, 32, 0.01"
RMSprop,50,4,32,0.01,0.1823,2.2885,"RMSprop, 50, 4, 32, 0.01"
RMSprop,50,6,32,0.01,0.2067,2.2837,"RMSprop, 50, 6, 32, 0.01"
RMSprop,50,8,32,0.01,0.2312,2.2788,"RMSprop, 50, 8, 32, 0.01"
RMSprop,50,10,32,0.01,0.2557,2.2738,"RMSprop, 50, 10, 32, 0.01"
RMSprop,50,30,32,0.01,0.5323,2.1785,"RMSprop, 50, 30, 32, 0.01"
RMSprop,50,50,32,0.01,0.6896,2.0971,"RMSprop, 50, 50, 32, 0.01"
RMSprop,50,70,32,0.01,0.8198,2.0187,"RMSprop, 50, 70, 32, 0.01"
RMSprop,50,90,32,0.01,0.9231,1.9434,"RMSprop, 50, 90, 32, 0.01"
RMSprop,50,110,32,0.01,0.9996,1.8712,"RMSprop, 50, 110, 32, 0.01"
RMSprop,50,1,64,0.01,0.1489,2.2967,"RMSprop, 50, 1, 64, 0.01"
RMSprop,50,2,64,0.01,0.1711,2.2921,"RMSprop, 50, 2, 64, 0.01"
RMSprop,50,4,64,0.01,0.1945,2.2874,"RMSprop, 50, 4, 64, 0.01"
RMSprop,50,6,64,0.01,0.2189,2.2826,"RMSprop, 50, 6, 64, 0.01"
RMSprop,50,8,64,0.01,0.2434,2.2777,"RMSprop, 50, 8, 64, 0.01"
RMSprop,50,10,64,0.01,0.2679,2.2727,"RMSprop, 50, 10, 64, 0.01"
RMSprop,50,30,64,0.01,0.5445,2.1774,"RMSprop, 50, 30, 64, 0.01"
RMSprop,50,50,64,0.01,0.7019,2.0961,"RMSprop, 50, 50, 64, 0.01"
RMSprop,50,70,64,0.01,0.8321,2.0177,"RMSprop, 50, 70, 64, 0.01"
RMSprop,50,90,64,0.01,0.9354,1.9424,"RMSprop, 50, 90, 64, 0.01"
RMSprop,50,110,64,0.01,0.9999,1.8702,"RMSprop, 50, 110, 64, 0.01"
SGD,50,1,8,0.001,0.1201,2.3672,"SGD, 50, 1, 8, 0.001"
SGD,50,2,8,0.001,0.1523,2.3421,"SGD, 50, 2, 8, 0.001"
SGD,50,4,8,0.001,0.1897,2.3125,"SGD, 50, 4, 8, 0.001"
SGD,50,6,8,0.001,0.2234,2.2806,"SGD, 50, 6, 8, 0.001"
SGD,50,8,8,0.001,0.2541,2.2471,"SGD, 50, 8, 8, 0.001"
SGD,50,10,8,0.001,0.2819,2.2124,"SGD, 50, 10, 8, 0.001"
SGD,50,30,8,0.001,0.4187,1.9637,"SGD, 50, 30, 8, 0.001"
SGD,50,50,8,0.001,0.4772,1.8471,"SGD, 50, 50, 8, 0.001"
SGD,50,70,8,0.001,0.5156,1.7653,"SGD, 50, 70, 8, 0.001"
SGD,50,90,8,0.001,0.5428,1.7054,"SGD, 50, 90, 8, 0.001"
SGD,50,110,8,0.001,0.5634,1.6592,"SGD, 50, 110, 8, 0.001"
SGD,50,1,16,0.001,0.1287,2.3572,"SGD, 50, 1, 16, 0.001"
SGD,50,2,16,0.001,0.1625,2.3284,"SGD, 50, 2, 16, 0.001"
SGD,50,4,16,0.001,0.2006,2.2931,"SGD, 50, 4, 16, 0.001"
SGD,50,6,16,0.001,0.2354,2.2535,"SGD, 50, 6, 16, 0.001"
SGD,50,8,16,0.001,0.2667,2.2107,"SGD, 50, 8, 16, 0.001"
SGD,50,10,16,0.001,0.2945,2.1652,"SGD, 50, 10, 16, 0.001"
SGD,50,30,16,0.001,0.4372,1.8806,"SGD, 50, 30, 16, 0.001"
SGD,50,50,16,0.001,0.4983,1.7574,"SGD, 50, 50, 16, 0.001"
SGD,50,70,16,0.001,0.5384,1.6665,"SGD, 50, 70, 16, 0.001"
SGD,50,90,16,0.001,0.5662,1.6058,"SGD, 50, 90, 16, 0.001"
SGD,50,110,16,0.001,0.5867,1.5581,"SGD, 50, 110, 16, 0.001"
SGD,50,1,32,0.001,0.1362,2.3502,"SGD, 50, 1, 32, 0.001"
SGD,50,2,32,0.001,0.1703,2.3196,"SGD, 50, 2, 32, 0.001"
SGD,50,4,32,0.001,0.2087,2.2831,"SGD, 50, 4, 32, 0.001"
SGD,50,6,32,0.001,0.2434,2.2419,"SGD, 50, 6, 32, 0.001"
SGD,50,8,32,0.001,0.2746,2.1976,"SGD, 50, 8, 32, 0.001"
SGD,50,10,32,0.001,0.3024,2.1502,"SGD, 50, 10, 32, 0.001"
SGD,50,30,32,0.001,0.4471,1.8406,"SGD, 50, 30, 32, 0.001"
SGD,50,50,32,0.001,0.5098,1.7132,"SGD, 50, 50, 32, 0.001"
SGD,50,70,32,0.001,0.5513,1.6197,"SGD, 50, 70, 32, 0.001"
SGD,50,90,32,0.001,0.5798,1.5562,"SGD, 50, 90, 32, 0.001"
SGD,50,110,32,0.001,0.6003,1.5067,"SGD, 50, 110, 32, 0.001"
SGD,50,1,64,0.001,0.1435,2.3441,"SGD, 50, 1, 64, 0.001"
SGD,50,2,64,0.001,0.1787,2.3125,"SGD, 50, 2, 64, 0.001"
SGD,50,4,64,0.001,0.2172,2.2751,"SGD, 50, 4, 64, 0.001"
SGD,50,6,64,0.001,0.2521,2.2329,"SGD, 50, 6, 64, 0.001"
SGD,50,8,64,0.001,0.2834,2.1874,"SGD, 50, 8, 64, 0.001"
SGD,50,10,64,0.001,0.3112,2.1386,"SGD, 50, 10, 64, 0.001"
SGD,50,30,64,0.001,0.4556,1.8254,"SGD, 50, 30, 64, 0.001"
SGD,50,50,64,0.001,0.5173,1.6958,"SGD, 50, 50, 64, 0.001"
SGD,50,70,64,0.001,0.5586,1.6023,"SGD, 50, 70, 64, 0.001"
SGD,50,90,64,0.001,0.5871,1.5394,"SGD, 50, 90, 64, 0.001"
SGD,50,110,64,0.001,0.6077,1.4901,"SGD, 50, 110, 64, 0.001"
SGD,50,1,8,0.0025,0.1021,2.3897,"SGD, 50, 1, 8, 0.0025"
SGD,50,2,8,0.0025,0.1425,2.3691,"SGD, 50, 2, 8, 0.0025"
SGD,50,4,8,0.0025,0.1853,2.3447,"SGD, 50, 4, 8, 0.0025"
SGD,50,6,8,0.0025,0.2246,2.3165,"SGD, 50, 6, 8, 0.0025"
SGD,50,8,8,0.0025,0.2587,2.2846,"SGD, 50, 8, 8, 0.0025"
SGD,50,10,8,0.0025,0.2865,2.2491,"SGD, 50, 10, 8, 0.0025"
SGD,50,30,8,0.0025,0.4156,2.0012,"SGD, 50, 30, 8, 0.0025"
SGD,50,50,8,0.0025,0.4735,1.8927,"SGD, 50, 50, 8, 0.0025"
SGD,50,70,8,0.0025,0.5123,1.8154,"SGD, 50, 70, 8, 0.0025"
SGD,50,90,8,0.0025,0.5387,1.7606,"SGD, 50, 90, 8, 0.0025"
SGD,50,110,8,0.0025,0.5592,1.7184,"SGD, 50, 110, 8, 0.0025"
SGD,50,1,16,0.0025,0.1134,2.3825,"SGD, 50, 1, 16, 0.0025"
SGD,50,2,16,0.0025,0.1538,2.3617,"SGD, 50, 2, 16, 0.0025"
SGD,50,4,16,0.0025,0.1964,2.3361,"SGD, 50, 4, 16, 0.0025"
SGD,50,6,16,0.0025,0.2351,2.3065,"SGD, 50, 6, 16, 0.0025"
SGD,50,8,16,0.0025,0.2683,2.2734,"SGD, 50, 8, 16, 0.0025"
SGD,50,10,16,0.0025,0.2967,2.2376,"SGD, 50, 10, 16, 0.0025"
SGD,50,30,16,0.0025,0.4265,1.9903,"SGD, 50, 30, 16, 0.0025"
SGD,50,50,16,0.0025,0.4831,1.8787,"SGD, 50, 50, 16, 0.0025"
SGD,50,70,16,0.0025,0.5214,1.7992,"SGD, 50, 70, 16, 0.0025"
SGD,50,90,16,0.0025,0.5476,1.7419,"SGD, 50, 90, 16, 0.0025"
SGD,50,110,16,0.0025,0.5682,1.6962,"SGD, 50, 110, 16, 0.0025"
SGD,50,1,32,0.0025,0.1237,2.3752,"SGD, 50, 1, 32, 0.0025"
SGD,50,2,32,0.0025,0.1642,2.3541,"SGD, 50, 2, 32, 0.0025"
SGD,50,4,32,0.0025,0.2069,2.3284,"SGD, 50, 4, 32, 0.0025"
SGD,50,6,32,0.0025,0.2453,2.2987,"SGD, 50, 6, 32, 0.0025"
SGD,50,8,32,0.0025,0.2787,2.2654,"SGD, 50, 8, 32, 0.0025"
SGD,50,10,32,0.0025,0.3065,2.2286,"SGD, 50, 10, 32, 0.0025"
SGD,50,30,32,0.0025,0.4356,1.9804,"SGD, 50, 30, 32, 0.0025"
SGD,50,50,32,0.0025,0.4921,1.8679,"SGD, 50, 50, 32, 0.0025"
SGD,50,70,32,0.0025,0.5304,1.7874,"SGD, 50, 70, 32, 0.0025"
SGD,50,90,32,0.0025,0.5568,1.7281,"SGD, 50, 90, 32, 0.0025"
SGD,50,110,32,0.0025,0.5774,1.6812,"SGD, 50, 110, 32, 0.0025"
SGD,50,1,64,0.0025,0.1335,2.3687,"SGD, 50, 1, 64, 0.0025"
SGD,50,2,64,0.0025,0.1742,2.3476,"SGD, 50, 2, 64, 0.0025"
SGD,50,4,64,0.0025,0.2167,2.3212,"SGD, 50, 4, 64, 0.0025"
SGD,50,6,64,0.0025,0.2551,2.2909,"SGD, 50, 6, 64, 0.0025"
SGD,50,8,64,0.0025,0.2883,2.2571,"SGD, 50, 8, 64, 0.0025"
SGD,50,10,64,0.0025,0.3167,2.2198,"SGD, 50, 10, 64, 0.0025"
SGD,50,30,64,0.0025,0.4453,1.9723,"SGD, 50, 30, 64, 0.0025"
SGD,50,50,64,0.0025,0.5019,1.8615,"SGD, 50, 50, 64, 0.0025"
SGD,50,70,64,0.0025,0.5403,1.7818,"SGD, 50, 70, 64, 0.0025"
SGD,50,90,64,0.0025,0.5667,1.7214,"SGD, 50, 90, 64, 0.0025"
SGD,50,110,64,0.0025,0.5873,1.6765,"SGD, 50, 110, 64, 0.0025"
SGD,50,1,8,0.005,0.3456,1.8452,"SGD, 50, 1, 8, 0.005"
SGD,50,2,8,0.005,0.4567,1.6274,"SGD, 50, 2, 8, 0.005"
SGD,50,4,8,0.005,0.5789,1.3805,"SGD, 50, 4, 8, 0.005"
SGD,50,6,8,0.005,0.6721,1.1942,"SGD, 50, 6, 8, 0.005"
SGD,50,8,8,0.005,0.7453,1.0598,"SGD, 50, 8, 8, 0.005"
SGD,50,10,8,0.005,0.7954,0.9597,"SGD, 50, 10, 8, 0.005"
SGD,50,30,8,0.005,0.9102,0.5178,"SGD, 50, 30, 8, 0.005"
SGD,50,50,8,0.005,0.9421,0.3815,"SGD, 50, 50, 8, 0.005"
SGD,50,70,8,0.005,0.9643,0.3034,"SGD, 50, 70, 8, 0.005"
SGD,50,90,8,0.005,0.9776,0.2521,"SGD, 50, 90, 8, 0.005"
SGD,50,110,8,0.005,0.9867,0.2165,"SGD, 50, 110, 8, 0.005"
SGD,50,1,16,0.005,0.3654,1.8212,"SGD, 50, 1, 16, 0.005"
SGD,50,2,16,0.005,0.4765,1.6043,"SGD, 50, 2, 16, 0.005"
SGD,50,4,16,0.005,0.5987,1.3598,"SGD, 50, 4, 16, 0.005"
SGD,50,6,16,0.005,0.6921,1.1735,"SGD, 50, 6, 16, 0.005"
SGD,50,8,16,0.005,0.7654,1.0387,"SGD, 50, 8, 16, 0.005"
SGD,50,10,16,0.005,0.8156,0.9384,"SGD, 50, 10, 16, 0.005"
SGD,50,30,16,0.005,0.9302,0.5067,"SGD, 50, 30, 16, 0.005"
SGD,50,50,16,0.005,0.9621,0.3712,"SGD, 50, 50, 16, 0.005"
SGD,50,70,16,0.005,0.9843,0.2934,"SGD, 50, 70, 16, 0.005"
SGD,50,90,16,0.005,0.9976,0.2421,"SGD, 50, 90, 16, 0.005"
SGD,50,110,16,0.005,0.9999,0.2065,"SGD, 50, 110, 16, 0.005"
SGD,50,1,32,0.005,0.3856,1.8012,"SGD, 50, 1, 32, 0.005"
SGD,50,2,32,0.005,0.4967,1.5843,"SGD, 50, 2, 32, 0.005"
SGD,50,4,32,0.005,0.6189,1.3398,"SGD, 50, 4, 32, 0.005"
SGD,50,6,32,0.005,0.7123,1.1535,"SGD, 50, 6, 32, 0.005"
SGD,50,8,32,0.005,0.7856,1.0187,"SGD, 50, 8, 32, 0.005"
SGD,50,10,32,0.005,0.8354,0.9184,"SGD, 50, 10, 32, 0.005"
SGD,50,30,32,0.005,0.9502,0.4867,"SGD, 50, 30, 32, 0.005"
SGD,50,50,32,0.005,0.9821,0.3512,"SGD, 50, 50, 32, 0.005"
SGD,50,70,32,0.005,0.9943,0.2734,"SGD, 50, 70, 32, 0.005"
SGD,50,90,32,0.005,0.9976,0.2221,"SGD, 50, 90, 32, 0.005"
SGD,50,110,32,0.005,0.9999,0.1865,"SGD, 50, 110, 32, 0.005"
SGD,50,1,64,0.005,0.4054,1.7812,"SGD, 50, 1, 64, 0.005"
SGD,50,2,64,0.005,0.5165,1.5643,"SGD, 50, 2, 64, 0.005"
SGD,50,4,64,0.005,0.6387,1.3198,"SGD, 50, 4, 64, 0.005"
SGD,50,6,64,0.005,0.7321,1.1335,"SGD, 50, 6, 64, 0.005"
SGD,50,8,64,0.005,0.8054,0.9987,"SGD, 50, 8, 64, 0.005"
SGD,50,10,64,0.005,0.8556,0.8984,"SGD, 50, 10, 64, 0.005"
SGD,50,30,64,0.005,0.9702,0.4667,"SGD, 50, 30, 64, 0.005"
SGD,50,50,64,0.005,0.9921,0.3312,"SGD, 50, 50, 64, 0.005"
SGD,50,70,64,0.005,0.9943,0.2534,"SGD, 50, 70, 64, 0.005"
SGD,50,90,64,0.005,0.9976,0.2021,"SGD, 50, 90, 64, 0.005"
SGD,50,110,64,0.005,0.9999,0.1665,"SGD, 50, 110, 64, 0.005"
SGD,50,1,8,0.0075,0.5012,1.5842,"SGD, 50, 1, 8, 0.0075"
SGD,50,2,8,0.0075,0.6423,1.2791,"SGD, 50, 2, 8, 0.0075"
SGD,50,4,8,0.0075,0.7689,0.9983,"SGD, 50, 4, 8, 0.0075"
SGD,50,6,8,0.0075,0.8431,0.7892,"SGD, 50, 6, 8, 0.0075"
SGD,50,8,8,0.0075,0.8974,0.6456,"SGD, 50, 8, 8, 0.0075"
SGD,50,10,8,0.0075,0.9325,0.5471,"SGD, 50, 10, 8, 0.0075"
SGD,50,30,8,0.0075,0.9956,0.1876,"SGD, 50, 30, 8, 0.0075"
SGD,50,50,8,0.0075,0.9991,0.1054,"SGD, 50, 50, 8, 0.0075"
SGD,50,70,8,0.0075,0.9998,0.0742,"SGD, 50, 70, 8, 0.0075"
SGD,50,90,8,0.0075,0.9999,0.0587,"SGD, 50, 90, 8, 0.0075"
SGD,50,110,8,0.0075,0.9999,0.0496,"SGD, 50, 110, 8, 0.0075"
SGD,50,1,16,0.0075,0.5214,1.5642,"SGD, 50, 1, 16, 0.0075"
SGD,50,2,16,0.0075,0.6625,1.2591,"SGD, 50, 2, 16, 0.0075"
SGD,50,4,16,0.0075,0.7889,0.9783,"SGD, 50, 4, 16, 0.0075"
SGD,50,6,16,0.0075,0.8731,0.7692,"SGD, 50, 6, 16, 0.0075"
SGD,50,8,16,0.0075,0.9274,0.6256,"SGD, 50, 8, 16, 0.0075"
SGD,50,10,16,0.0075,0.9625,0.5271,"SGD, 50, 10, 16, 0.0075"
SGD,50,30,16,0.0075,0.9956,0.1676,"SGD, 50, 30, 16, 0.0075"
SGD,50,50,16,0.0075,0.9991,0.0854,"SGD, 50, 50, 16, 0.0075"
SGD,50,70,16,0.0075,0.9998,0.0542,"SGD, 50, 70, 16, 0.0075"
SGD,50,90,16,0.0075,0.9999,0.0387,"SGD, 50, 90, 16, 0.0075"
SGD,50,110,16,0.0075,0.9999,0.0296,"SGD, 50, 110, 16, 0.0075"
SGD,50,1,32,0.0075,0.5412,1.5442,"SGD, 50, 1, 32, 0.0075"
SGD,50,2,32,0.0075,0.6823,1.2391,"SGD, 50, 2, 32, 0.0075"
SGD,50,4,32,0.0075,0.8089,0.9583,"SGD, 50, 4, 32, 0.0075"
SGD,50,6,32,0.0075,0.8931,0.7492,"SGD, 50, 6, 32, 0.0075"
SGD,50,8,32,0.0075,0.9474,0.6056,"SGD, 50, 8, 32, 0.0075"
SGD,50,10,32,0.0075,0.9825,0.5071,"SGD, 50, 10, 32, 0.0075"
SGD,50,30,32,0.0075,0.9956,0.1476,"SGD, 50, 30, 32, 0.0075"
SGD,50,50,32,0.0075,0.9991,0.0654,"SGD, 50, 50, 32, 0.0075"
SGD,50,70,32,0.0075,0.9998,0.0342,"SGD, 50, 70, 32, 0.0075"
SGD,50,90,32,0.0075,0.9999,0.0187,"SGD, 50, 90, 32, 0.0075"
SGD,50,110,32,0.0075,0.9999,0.0096,"SGD, 50, 110, 32, 0.0075"
SGD,50,1,64,0.0075,0.5612,1.5242,"SGD, 50, 1, 64, 0.0075"
SGD,50,2,64,0.0075,0.7023,1.2191,"SGD, 50, 2, 64, 0.0075"
SGD,50,4,64,0.0075,0.8289,0.9383,"SGD, 50, 4, 64, 0.0075"
SGD,50,6,64,0.0075,0.9131,0.7292,"SGD, 50, 6, 64, 0.0075"
SGD,50,8,64,0.0075,0.9674,0.5856,"SGD, 50, 8, 64, 0.0075"
SGD,50,10,64,0.0075,0.9925,0.4871,"SGD, 50, 10, 64, 0.0075"
SGD,50,30,64,0.0075,0.9956,0.1276,"SGD, 50, 30, 64, 0.0075"
SGD,50,50,64,0.0075,0.9991,0.0454,"SGD, 50, 50, 64, 0.0075"
SGD,50,70,64,0.0075,0.9998,0.0142,"SGD, 50, 70, 64, 0.0075"
SGD,50,90,64,0.0075,0.9999,0.0087,"SGD, 50, 90, 64, 0.0075"
SGD,50,110,64,0.0075,0.9999,0.0046,"SGD, 50, 110, 64, 0.0075"
SGD,50,1,8,0.01,0.2056,1.9262,"SGD, 50, 1, 8, 0.01"
SGD,50,2,8,0.01,0.2507,1.8609,"SGD, 50, 2, 8, 0.01"
SGD,50,4,8,0.01,0.3036,1.7731,"SGD, 50, 4, 8, 0.01"
SGD,50,6,8,0.01,0.3583,1.6709,"SGD, 50, 6, 8, 0.01"
SGD,50,8,8,0.01,0.4098,1.5587,"SGD, 50, 8, 8, 0.01"
SGD,50,10,8,0.01,0.4572,1.4419,"SGD, 50, 10, 8, 0.01"
SGD,50,30,8,0.01,0.8051,0.7856,"SGD, 50, 30, 8, 0.01"
SGD,50,50,8,0.01,0.8963,0.5327,"SGD, 50, 50, 8, 0.01"
SGD,50,70,8,0.01,0.9376,0.3991,"SGD, 50, 70, 8, 0.01"
SGD,50,90,8,0.01,0.9582,0.3198,"SGD, 50, 90, 8, 0.01"
SGD,50,110,8,0.01,0.9717,0.2676,"SGD, 50, 110, 8, 0.01"
SGD,50,1,16,0.01,0.2219,1.9031,"SGD, 50, 1, 16, 0.01"
SGD,50,2,16,0.01,0.2675,1.8376,"SGD, 50, 2, 16, 0.01"
SGD,50,4,16,0.01,0.3206,1.7491,"SGD, 50, 4, 16, 0.01"
SGD,50,6,16,0.01,0.3753,1.6469,"SGD, 50, 6, 16, 0.01"
SGD,50,8,16,0.01,0.4268,1.5347,"SGD, 50, 8, 16, 0.01"
SGD,50,10,16,0.01,0.4742,1.4179,"SGD, 50, 10, 16, 0.01"
SGD,50,30,16,0.01,0.8211,0.6656,"SGD, 50, 30, 16, 0.01"
SGD,50,50,16,0.01,0.9123,0.4127,"SGD, 50, 50, 16, 0.01"
SGD,50,70,16,0.01,0.9536,0.2791,"SGD, 50, 70, 16, 0.01"
SGD,50,90,16,0.01,0.9742,0.1998,"SGD, 50, 90, 16, 0.01"
SGD,50,110,16,0.01,0.9877,0.1476,"SGD, 50, 110, 16, 0.01"
SGD,50,1,32,0.01,0.2375,1.8791,"SGD, 50, 1, 32, 0.01"
SGD,50,2,32,0.01,0.2831,1.8136,"SGD, 50, 2, 32, 0.01"
SGD,50,4,32,0.01,0.3362,1.7251,"SGD, 50, 4, 32, 0.01"
SGD,50,6,32,0.01,0.3909,1.6229,"SGD, 50, 6, 32, 0.01"
SGD,50,8,32,0.01,0.4424,1.5107,"SGD, 50, 8, 32, 0.01"
SGD,50,10,32,0.01,0.4898,1.3939,"SGD, 50, 10, 32, 0.01"
SGD,50,30,32,0.01,0.8367,0.6416,"SGD, 50, 30, 32, 0.01"
SGD,50,50,32,0.01,0.9279,0.3887,"SGD, 50, 50, 32, 0.01"
SGD,50,70,32,0.01,0.9692,0.2551,"SGD, 50, 70, 32, 0.01"
SGD,50,90,32,0.01,0.9898,0.1758,"SGD, 50, 90, 32, 0.01"
SGD,50,110,32,0.01,0.9933,0.1236,"SGD, 50, 110, 32, 0.01"
SGD,50,1,64,0.01,0.2531,1.8562,"SGD, 50, 1, 64, 0.01"
SGD,50,2,64,0.01,0.2987,1.7907,"SGD, 50, 2, 64, 0.01"
SGD,50,4,64,0.01,0.3518,1.7022,"SGD, 50, 4, 64, 0.01"
SGD,50,6,64,0.01,0.4065,1.5999,"SGD, 50, 6, 64, 0.01"
SGD,50,8,64,0.01,0.4579,1.4877,"SGD, 50, 8, 64, 0.01"
SGD,50,10,64,0.01,0.5053,1.3709,"SGD, 50, 10, 64, 0.01"
SGD,50,30,64,0.01,0.8522,0.6186,"SGD, 50, 30, 64, 0.01"
SGD,50,50,64,0.01,0.9434,0.3657,"SGD, 50, 50, 64, 0.01"
SGD,50,70,64,0.01,0.9847,0.2321,"SGD, 50, 70, 64, 0.01"
SGD,50,90,64,0.01,0.9942,0.1528,"SGD, 50, 90, 64, 0.01"
SGD,50,110,64,0.01,0.9977,0.1006,"SGD, 50, 110, 64, 0.01"
Adam,101,1,8,0.001,0.1002,2.3023,"Adam, 101, 1, 8, 0.001"
Adam,101,2,8,0.001,0.1234,2.3012,"Adam, 101, 2, 8, 0.001"
Adam,101,4,8,0.001,0.1567,2.3001,"Adam, 101, 4, 8, 0.001"
Adam,101,6,8,0.001,0.1983,2.299,"Adam, 101, 6, 8, 0.001"
Adam,101,8,8,0.001,0.2367,2.2978,"Adam, 101, 8, 8, 0.001"
Adam,101,10,8,0.001,0.2801,2.2965,"Adam, 101, 10, 8, 0.001"
Adam,101,30,8,0.001,0.6445,2.2754,"Adam, 101, 30, 8, 0.001"
Adam,101,50,8,0.001,0.8023,2.2536,"Adam, 101, 50, 8, 0.001"
Adam,101,70,8,0.001,0.9034,2.2312,"Adam, 101, 70, 8, 0.001"
Adam,101,90,8,0.001,0.9645,2.2092,"Adam, 101, 90, 8, 0.001"
Adam,101,110,8,0.001,0.9934,2.1876,"Adam, 101, 110, 8, 0.001"
Adam,101,1,16,0.001,0.1123,2.3019,"Adam, 101, 1, 16, 0.001"
Adam,101,2,16,0.001,0.1456,2.3007,"Adam, 101, 2, 16, 0.001"
Adam,101,4,16,0.001,0.1873,2.2994,"Adam, 101, 4, 16, 0.001"
Adam,101,6,16,0.001,0.2345,2.2981,"Adam, 101, 6, 16, 0.001"
Adam,101,8,16,0.001,0.2767,2.2968,"Adam, 101, 8, 16, 0.001"
Adam,101,10,16,0.001,0.3234,2.2954,"Adam, 101, 10, 16, 0.001"
Adam,101,30,16,0.001,0.6876,2.269,"Adam, 101, 30, 16, 0.001"
Adam,101,50,16,0.001,0.8312,2.242,"Adam, 101, 50, 16, 0.001"
Adam,101,70,16,0.001,0.9298,2.2153,"Adam, 101, 70, 16, 0.001"
Adam,101,90,16,0.001,0.9734,2.189,"Adam, 101, 90, 16, 0.001"
Adam,101,110,16,0.001,0.9954,2.1631,"Adam, 101, 110, 16, 0.001"
Adam,101,1,32,0.001,0.1245,2.3015,"Adam, 101, 1, 32, 0.001"
Adam,101,2,32,0.001,0.1578,2.3003,"Adam, 101, 2, 32, 0.001"
Adam,101,4,32,0.001,0.1994,2.299,"Adam, 101, 4, 32, 0.001"
Adam,101,6,32,0.001,0.2467,2.2976,"Adam, 101, 6, 32, 0.001"
Adam,101,8,32,0.001,0.2889,2.2961,"Adam, 101, 8, 32, 0.001"
Adam,101,10,32,0.001,0.3367,2.2945,"Adam, 101, 10, 32, 0.001"
Adam,101,30,32,0.001,0.6976,2.2658,"Adam, 101, 30, 32, 0.001"
Adam,101,50,32,0.001,0.839,2.2374,"Adam, 101, 50, 32, 0.001"
Adam,101,70,32,0.001,0.9356,2.2093,"Adam, 101, 70, 32, 0.001"
Adam,101,90,32,0.001,0.9789,2.1815,"Adam, 101, 90, 32, 0.001"
Adam,101,110,32,0.001,0.9976,2.1539,"Adam, 101, 110, 32, 0.001"
Adam,101,1,64,0.001,0.1378,2.301,"Adam, 101, 1, 64, 0.001"
Adam,101,2,64,0.001,0.1712,2.2997,"Adam, 101, 2, 64, 0.001"
Adam,101,4,64,0.001,0.2134,2.2982,"Adam, 101, 4, 64, 0.001"
Adam,101,6,64,0.001,0.2601,2.2967,"Adam, 101, 6, 64, 0.001"
Adam,101,8,64,0.001,0.3023,2.2952,"Adam, 101, 8, 64, 0.001"
Adam,101,10,64,0.001,0.349,2.2936,"Adam, 101, 10, 64, 0.001"
Adam,101,30,64,0.001,0.7078,2.2595,"Adam, 101, 30, 64, 0.001"
Adam,101,50,64,0.001,0.8496,2.227,"Adam, 101, 50, 64, 0.001"
Adam,101,70,64,0.001,0.9456,2.1953,"Adam, 101, 70, 64, 0.001"
Adam,101,90,64,0.001,0.9887,2.1638,"Adam, 101, 90, 64, 0.001"
Adam,101,110,64,0.001,0.9998,2.1326,"Adam, 101, 110, 64, 0.001"
Adam,101,1,8,0.0025,0.3023,2.2754,"Adam, 101, 1, 8, 0.0025"
Adam,101,2,8,0.0025,0.4123,2.2498,"Adam, 101, 2, 8, 0.0025"
Adam,101,4,8,0.0025,0.5367,2.2221,"Adam, 101, 4, 8, 0.0025"
Adam,101,6,8,0.0025,0.6489,2.1924,"Adam, 101, 6, 8, 0.0025"
Adam,101,8,8,0.0025,0.7512,2.1607,"Adam, 101, 8, 8, 0.0025"
Adam,101,10,8,0.0025,0.8423,2.1271,"Adam, 101, 10, 8, 0.0025"
Adam,101,30,8,0.0025,0.9789,1.9765,"Adam, 101, 30, 8, 0.0025"
Adam,101,50,8,0.0025,0.9956,1.8407,"Adam, 101, 50, 8, 0.0025"
Adam,101,70,8,0.0025,0.9978,1.7332,"Adam, 101, 70, 8, 0.0025"
Adam,101,90,8,0.0025,0.9992,1.6505,"Adam, 101, 90, 8, 0.0025"
Adam,101,110,8,0.0025,0.9999,1.5863,"Adam, 101, 110, 8, 0.0025"
Adam,101,1,16,0.0025,0.3212,2.2711,"Adam, 101, 1, 16, 0.0025"
Adam,101,2,16,0.0025,0.4312,2.2442,"Adam, 101, 2, 16, 0.0025"
